Trip_id,Start_Date,End_Date,Number_Of_Travellers,preferences,User_id,created_at,Destination,Required_Activity_IDS,Excluded_Activity_Ids,Preference_Scores
5,2025-11-22,2025-12-12,1,ADVENTURE,3,2025-11-11 12:26:09.463508+00,,,,
7,,,1,,3,2025-11-12 16:53:11.878646+00,Marrakesh,,,
10,2026-01-15,2026-02-01,1,ADVENTURE,6,2025-11-15 18:50:36.558705+00,Tanzania,,,
26,,,1,ADVENTURE,1,2025-11-27 15:42:15.300757+00,South Africa,,,
27,2025-11-28,2025-11-30,4,RELAXATION,1,2025-11-27 17:13:24.226754+00,South Africa,,,
29,2025-11-29,2025-12-12,8,ADVENTURE,10,2025-11-27 18:52:54.663895+00,South Africa,,,
40,2026-04-01,2026-04-12,4,CULTURE,31,2025-11-29 16:30:03.240675+00,South Africa,,,
41,2026-07-10,2026-07-26,4,ADVENTURE,31,2025-11-29 16:34:21.706253+00,Morocco,,,
42,2025-11-30,2025-12-14,2,CULTURE,6,2025-11-29 18:17:48.716373+00,Morocco,"41,40,42,53,47,49,48,52,44,45,51","46,50,54,56","{""CULTURE"": 5, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
43,2025-11-30,2025-12-03,1,NATURE,1,2025-11-30 08:49:59.42387+00,Morocco,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 5}"
49,2026-04-14,2026-04-25,8,NATURE,33,2025-11-30 14:35:33.870655+00,Morocco,,,
51,2025-12-01,2026-01-31,5,RELAXATION,5,2025-11-30 20:38:20.000784+00,South Africa,,,
52,2025-12-21,2025-12-27,1,CULTURE,5,2025-11-30 23:50:25.776169+00,South Africa,,,
55,2025-12-07,2025-12-24,6,RELAXATION,9,2025-12-01 15:26:36.984091+00,South Africa,,,
56,2025-12-02,2025-12-07,3,ADVENTURE,9,2025-12-01 16:25:30.532884+00,Morocco,,,
66,2025-12-18,2025-12-26,1,ADVENTURE,10,2025-12-02 14:35:20.497905+00,Morocco,"49,51",54,"{""CULTURE"": 2, ""ADVENTURE"": 4, ""RELAXATION"": 2, ""NATURE"": 4}"
67,2025-12-17,2025-12-24,1,CULTURE,9,2025-12-02 15:33:14.760602+00,Morocco,,,"{""CULTURE"": 4, ""ADVENTURE"": 3, ""RELAXATION"": 4, ""NATURE"": 2}"
79,2026-03-31,2026-04-06,2,RELAXATION,34,2025-12-03 20:04:38.57928+00,South Africa,"19,14,20,16,18","11,12","{""CULTURE"": 4, ""ADVENTURE"": 1, ""RELAXATION"": 5, ""NATURE"": 5}"
80,2026-01-03,2026-01-09,2,CULTURE,34,2025-12-03 20:15:58.00784+00,Morocco,"41,47,46,49","51,45","{""CULTURE"": 5, ""ADVENTURE"": 3, ""RELAXATION"": 4, ""NATURE"": 1}"
81,2025-12-22,2025-12-30,1,CULTURE,10,2025-12-03 23:51:06.898971+00,Morocco,,,"{""CULTURE"": 5, ""ADVENTURE"": 4, ""RELAXATION"": 1, ""NATURE"": 4}"
87,2025-12-22,2026-01-07,1,ADVENTURE,5,2025-12-04 13:30:34.777964+00,Morocco,"40,56,42,45,46,47,50,51,52,54","41,44,49,48,53","{""CULTURE"": 4, ""ADVENTURE"": 5, ""RELAXATION"": 2, ""NATURE"": 2}"
91,2025-12-16,2025-12-19,1,RELAXATION,35,2025-12-06 08:25:19.146466+00,Morocco,"41,45,49","53,52,51,48,50","{""CULTURE"": 2, ""ADVENTURE"": 4, ""RELAXATION"": 5, ""NATURE"": 5}"
92,2026-02-27,2026-03-12,1,CULTURE,36,2025-12-06 08:40:51.336772+00,Morocco,"41,40,56,46,47,49,48,50,51,54","42,44,45,52,53","{""CULTURE"": 4, ""ADVENTURE"": 4, ""RELAXATION"": 4, ""NATURE"": 2}"
93,2026-01-14,2026-01-19,1,ADVENTURE,37,2025-12-06 08:41:45.910021+00,Morocco,"41,40,56,44,46,47,49,50,51,54","45,52,53","{""CULTURE"": 2, ""ADVENTURE"": 4, ""RELAXATION"": 4, ""NATURE"": 4}"
94,2026-06-30,2026-07-14,1,ADVENTURE,38,2025-12-06 10:14:21.351292+00,South Africa,"21,10,19,17,22,13,20","11,12,15,16,23","{""CULTURE"": 4, ""ADVENTURE"": 5, ""RELAXATION"": 2, ""NATURE"": 4}"
97,2026-01-11,2026-01-28,1,CULTURE,42,2025-12-06 12:15:29.91841+00,South Africa,"21,10,17,15,22,13,23",,"{""CULTURE"": 5, ""ADVENTURE"": 5, ""RELAXATION"": 2, ""NATURE"": 5}"
98,2026-01-11,2026-01-28,1,CULTURE,42,2025-12-06 12:16:18.663873+00,South Africa,"21,10,17,15,22,13,23",,"{""CULTURE"": 5, ""ADVENTURE"": 5, ""RELAXATION"": 2, ""NATURE"": 5}"
103,2025-12-19,2025-12-26,1,CULTURE,47,2025-12-06 21:07:02.712869+00,South Africa,"21,10,12,19,14,17,15,16,13,20","11,22,24,23,18","{""CULTURE"": 4, ""ADVENTURE"": 2, ""RELAXATION"": 2, ""NATURE"": 2}"
105,2025-12-15,2025-12-19,1,NATURE,9,2025-12-07 16:30:56.266745+00,South Africa,22,,"{""CULTURE"": 2, ""ADVENTURE"": 4, ""RELAXATION"": 2, ""NATURE"": 5}"
106,2025-12-08,2025-12-15,1,ADVENTURE,9,2025-12-07 16:39:57.161326+00,Morocco,"40,46,48,53,45",,"{""CULTURE"": 3, ""ADVENTURE"": 4, ""RELAXATION"": 2, ""NATURE"": 3}"
107,2026-06-06,2026-06-19,1,RELAXATION,51,2025-12-07 18:50:34.818513+00,South Africa,"12,15,23","24,20","{""CULTURE"": 3, ""ADVENTURE"": 2, ""RELAXATION"": 5, ""NATURE"": 5}"
