Activity_type_id,name,type,destination,difficulty,Agency_id,created_at,description,score_culture,score_adventure,score_relaxation,score_nature,latitude,longitude,Min_Age,Max_Age,Duration,Picture
10,Table Mountain Hike,ADVENTURE,South Africa,HARD,9,,Scenic hike up Cape Town's most iconic mountain with panoramic views.,2,5,1,4,-33.9628,18.4098,0,60,4,20251130_141810_Start_of_Table_Mountain_trail_Cape_Town.jpg
11,Shark Cage Diving,ADVENTURE,South Africa,HARD,9,,Thrilling cage dive with great white sharks near Gansbaai.,1,5,1,3,-34.58,19.35,14,65,5,20251130_141912_15354694169_1c364363bd_b.jpg
12,Garden Route Zipline Adventure,ADVENTURE,South Africa,MODERATE,9,,Exciting zipline experience over lush forests in the Garden Route.,1,5,2,4,-34.05,23.05,10,80,3,20251130_142004_Canopy_tree_top_tours_Tsitsikamma_Forest_Garden_Route_6252674869.jpg
13,Lion's Head Sunrise Hike,ADVENTURE,South Africa,MODERATE,9,,Early morning hike offering spectacular sunrise views over Cape Town.,2,5,2,4,-33.9366,18.389,0,99,5,20251130_142140_South-Africa-Table-Mountain.jpg
14,Robben Island Museum Tour,CULTURE,South Africa,EASY,10,,Historical tour of the island where Nelson Mandela was imprisoned.,5,1,3,2,-33.806,18.3662,6,99,2,20251130_140711_406460697_4c680d6b6c_b.jpg
15,Bo-Kaap Cultural Walking Tour,CULTURE,South Africa,EASY,10,,Guided walk through colourful historic Malay Quarter with food tastings.,5,1,3,2,-33.923,18.416,0,99,2,20251130_140950_Bo-Kaap_from_roof_of_Strand_South_hotel_Cape_Town.jpg
16,Cape Malay Cooking Class,CULTURE,South Africa,EASY,10,,Learn traditional Cape Malay cooking from local chefs.,5,1,4,1,-33.922,18.4175,10,99,2,20251130_141108_uganda_food1.jpg
17,Chapman's Peak Scenic Drive,RELAXATION,South Africa,EASY,10,,One of the worldâ€™s most scenic coastal drives with incredible viewpoints.,3,2,5,4,-34.105,18.358,0,99,3,20251130_140909_Chapmans_Peak_Drive_2.jpg
18,Cape Winelands Wine Tasting,RELAXATION,South Africa,EASY,11,,Relaxing wine tours through Stellenbosch & Franschhoek vineyards.,4,1,5,3,-33.927,18.4241,18,99,2,20251130_142728_Wine-Tasting.jpg
19,Cederberg Stargazing Experience,RELAXATION,South Africa,EASY,11,,Stargazing under some of the clearest night skies in the world.,3,1,5,5,-32.5,19,6,99,1,20251130_142911_5589306551_e9a7a9a5df_b.jpg
20,Sandboarding at Atlantis Dunes,ADVENTURE,South Africa,MODERATE,11,,Thrilling sandboarding experience on massive dunes near Cape Town.,1,5,2,4,-33.565,18.449,10,80,4,20251130_142831_pexels-photo-10120062.jpeg
21,Cape Point Nature Reserve Visit,NATURE,South Africa,EASY,12,,"Visit dramatic cliffs, wildlife and breathtaking coastal landscapes.",2,3,4,5,-34.3568,18.4975,0,99,2,20251130_141601_Playa_Dias_Cape_Point_Sudafrica_2018-07-23_DD_103.jpg
22,Boulders Beach Penguin Visit,NATURE,South Africa,EASY,12,,Visit the famous African penguin colony at Boulders Beach.,3,2,4,5,-34.1973,18.451,0,99,2,20251130_141258_Boulders_Beach_Suedafrika.jpg
23,Kirstenbosch Botanical Gardens Walk,NATURE,South Africa,EASY,12,,Leisurely walk through one of the world's most beautiful botanical gardens.,3,1,4,5,-33.9881,18.4326,0,99,2,20251130_141510_Toursts_in_Kirstenbosch_National_Botanical_Garden_Western_Cape_6252697079.jpg
24,Hermanus Whale Watching,RELAXATION,South Africa,EASY,12,,World-famous whale watching along the Hermanus coast.,2,3,5,5,-34.4167,19.2333,6,99,4,20251130_141441_283875692_5fb9888973_c.jpg
40,Marrakech Medina Walking Tour,CULTURE,Morocco,EASY,15,2025-11-28 13:42:25.228042,"Explore the historic souks, Koutoubia Mosque and Jemaa el-Fnaa.",5,2,3,2,31.629472,-7.981084,6,99,2,20251207_122521_Medina_of_Marrakesh-110423.jpg
41,Camel Ride at Agafay Desert,ADVENTURE,Morocco,EASY,14,2025-11-28 13:42:25.228042,A scenic camel ride through the rocky desert landscapes near Marrakech.,2,5,3,3,31.449368,-7.941204,10,99,4,20251207_121439_1-700x500.jpeg
42,Atlas Mountains Multi-Day Trek,ADVENTURE,Morocco,MODERATE,13,2025-11-28 13:42:25.228042,A guided hike through Berber villages and high-altitude landscapes.,3,5,2,4,31.067241,-7.918661,6,80,40,20251207_122815_Atlas_Mountain_range.jpg
44,Sahara Desert Overnight Camping,ADVENTURE,Morocco,MODERATE,14,2025-11-28 13:42:25.228042,Traditional Berber camp experience under the desert stars.,3,5,2,4,31.135612,-4.013083,0,99,12,20251207_123040_1555462_original.jpg
45,Sandboarding in Merzouga Dunes,ADVENTURE,Morocco,MODERATE,14,2025-11-28 13:42:25.228042,Thrilling sandboarding adventure on the Saharaâ€™s tallest dunes.,1,5,2,3,31.099997,-4.001762,6,80,5,20251207_123115_free-photo-of-man-sliding-on-desert-dunes-near-town.jpeg
46,Traditional Moroccan Cooking Class,CULTURE,Morocco,EASY,15,2025-11-28 13:42:25.228042,Prepare tajine and couscous using authentic methods and spices.,5,1,4,2,31.629472,-7.981084,10,99,3,20251207_122549_Lamb_and_onion_saffron_tagine_recipe.jpg
47,Ouzoud Waterfalls Nature Walk,NATURE,Morocco,EASY,13,2025-11-28 13:42:25.228042,Visit Moroccoâ€™s highest waterfalls and see wild macaques.,3,3,4,5,32.015084,-6.730783,0,99,2,20251207_122846_Ouzoud_waterfalls_In_spring-Morocco.jpg
48,Berber Village Cultural Exchange,CULTURE,Morocco,EASY,13,2025-11-28 13:42:25.228042,Meet Berber families and learn about traditional mountain life.,5,2,3,4,31.20821,-7.866681,0,99,2,20251207_122920_Berber_village_Atlas.jpg
49,Hot Air Balloon Flight Over Marrakech,ADVENTURE,Morocco,MODERATE,13,2025-11-28 13:42:25.228042,Sunrise balloon experience with panoramic views of the Atlas Mountains.,2,5,3,4,31.706748,-7.84556,10,99,6,20251207_122904_hot-air-balloons-floating-at-sunrise.jpg
50,Hammam & Spa Relaxation Ritual,RELAXATION,Morocco,EASY,15,2025-11-28 13:42:25.228042,Traditional hammam session with exfoliation and massage.,2,1,5,1,31.624149,-7.989104,12,99,3,20251207_122648_Banos_arabes_Hammam_al_Andalus_Malaga_Espana_2023-05-20_DD_134.jpg
51,Quad Biking in Agafay Desert,ADVENTURE,Morocco,MODERATE,14,2025-11-28 13:42:25.228042,A fast-paced ride across rocky terrains and desert plateaus.,1,5,2,3,31.449368,-7.941204,16,99,2,20251207_123133_pexels-photo-11294565.jpeg
52,Ait Ben Haddou Kasbah Tour,CULTURE,Morocco,MODERATE,13,2025-11-28 13:42:25.228042,UNESCO site famous for its ancient earthen clay architecture.,5,3,2,4,31.047009,-7.129598,0,99,2,20251207_122936_834186599_6ce7be9364_b.jpg
53,Majorelle Garden & YSL Museum,CULTURE,Morocco,EASY,15,2025-11-28 13:42:25.228042,Visit the iconic botanical garden and Moroccan-inspired art museum.,5,1,4,2,31.641224,-8.002833,0,99,2,20251207_122710_Jardin_des_majorel.jpg
54,Desert Sunset Tea Ceremony,RELAXATION,Morocco,EASY,14,2025-11-28 13:42:25.228042,Experience a calming tea ritual with panoramic desert views.,3,2,5,3,31.177683,-4.003903,0,99,3,20251207_123206_pexels-mographe-30906049.jpg
56,Todgha Gorge Canyon Walk,NATURE,Morocco,MODERATE,15,,"A scenic canyon walk through the spectacular Todgha Gorge, featuring 300m high limestone cliffs and a winding riverbed path.",2,4,3,5,31.587,-5.5328,0,99,4,20251207_123330_pexels-mographe-30369008.jpg
